"muni_id";"muni_id_6";"muni_nm";"uf_sigla";"obitos_total";"pop_total";"coef_total";"taxa_ajustada"
"2209450";220945;"Santo Antônio dos Milagres";"PI";NA;2166;NA;NA
"2209658";220965;"São Francisco de Assis do Piauí";"PI";NA;5779;NA;NA
"2209872";220987;"São João da Fronteira";"PI";NA;6064;NA;NA
"2210102";221010;"São José do Peixe";"PI";NA;3741;NA;NA
"2210359";221035;"São Lourenço do Piauí";"PI";NA;4577;NA;NA
"2210375";221037;"São Luis do Piauí";"PI";NA;2646;NA;NA
"2210383";221038;"São Miguel da Baixa Grande";"PI";NA;2454;NA;NA
"2211407";221140;"Várzea Grande";"PI";NA;4386;NA;NA
"2401651";240165;"Bodó";"RN";NA;2197;NA;NA
"2405504";240550;"Jardim de Angicos";"RN";NA;2606;NA;NA
"2406908";240690;"Lucrécia";"RN";NA;4025;NA;NA
"2409605";240960;"Pedra Preta";"RN";NA;2438;NA;NA
"2410801";241080;"Riacho de Santana";"RN";NA;4199;NA;NA
"2411429";241142;"Santana do Seridó";"RN";NA;2689;NA;NA
"2412401";241240;"São José do Seridó";"RN";NA;4665;NA;NA
